Comment,Designator,Footprint,LCSC
HL2309,"Q3,Q4",qeda:SOT95P237X112-3N,C28646263
PTC,F1,qeda:VREG_JK60-185,C369091
S8050,"Q1,Q2,Q5",qeda:SOT95P237X112-3N,C2150
10uF,"C10,C13",qeda:CAPC3216X180N,C13585
10k,"R3,R8,R9,R10,R11,R12,R13,R14,R21,R23,R24",qeda:UC1608X55N,C25804
MP34DT05-A,U5,qeda:SENSOR_MP34DT05-A,C2937733
0.1uF,"C2,C3,C5,C6,C7,C15",qeda:CAPC1608X92N,C14663
green,"D3,D4,D5,D6",qeda:UPC1608X90N,C2986059
1uF,"C8,C9,C11,C12,C14",qeda:CAPC1608X92N,C15849
60V,RV1,qeda:VARC3216X190N,C49247588
47uF,C1,qeda:CAPPRD350W50D800H1200N,C46895
WT32-ETH01_right,J11,Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical,C2685211
100,"R4,R5,R6,R15",qeda:UC1608X55N,C22775
74HC14D,U4,qeda:SOIC127P600X175-14N,C5605
5+V_SCREW,J3,qeda:CONNECTOR_MX25C-7.62-02P,C5188509
SS210,"D2,D7",qeda:UPM4326X290N,C14996
5.1k,"R1,R2",qeda:UC1608X55N,C23186
CH224K,U7,qeda:SOP100P600X180-11N,C970725
8.2k,R18,qeda:UC1608X55N,C25981
47k,"R7,R17",qeda:UC1608X55N,C25819
5V_SCREW,J2,qeda:CONNECTOR_MX25C-7.62-02P,C5188509
MAX3485ESA,U6,qeda:SOP127P600X175-8N,C2841835
BTN,"SW1,SW3",qeda:MECHANICAL_TS-1187A,C318884
24k,R20,qeda:UC1608X55N,C23352
SRV05-4,D8,qeda:SOT95P280X120-6N,C20615829
LMR16030,U1,qeda:SOP127P600X170-9N,C90665
470uF,C4,qeda:CAPPRD250W50D630H700N,C43328
8+V_JACK,J4,qeda:CONNECTOR_DC-005_2.0,C16214
spring terminal,J12,qeda:CONNECTOR_KF250-3.5-03P-1,C475155
USB-C,"J1,J7",qeda:CONNECTOR_USB-C_16P_U263-163N-4BLS1735,C2931474
100k,"R16,R22",qeda:UC1608X55N,C25803
5V6,D1,qeda:SODFL1608X65N,C19077464
WT32-ETH01_left,J10,Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical,C2685211
SW_DP3T,SW4,qeda:MECHANICAL_MST23D18G2,C2906281
1k,R19,qeda:UC1608X55N,C21190
15uH,L1,qeda:INDUCTOR_FXL0630,C177243
CH340K,U2,qeda:SOP100P615X140-11N,C968586
