Designator,Mid X,Mid Y,Layer,Rotation
C1,14.20,-72.05,T,270.00
C2,31.35,-79.10,T,0.00
C3,29.00,-98.70,T,90.00
C4,14.80,-64.30,T,90.00
C5,39.30,-91.20,T,0.00
C6,24.10,-64.00,T,180.00
C7,47.00,-95.00,T,270.00
C8,48.90,-94.80,T,270.00
C9,30.80,-76.20,T,90.00
C10,26.90,-77.75,T,0.00
C11,35.80,-79.10,T,0.00
C12,39.80,-79.10,T,180.00
C13,26.85,-74.85,T,180.00
C14,16.20,-88.40,T,90.00
C15,18.65,-52.60,T,0.00
D1,46.76,-67.45,T,0.00
D2,29.40,-83.50,T,90.00
D3,5.90,-67.70,T,270.00
D4,5.90,-71.00,T,270.00
D5,5.90,-74.30,T,270.00
D6,5.90,-64.40,T,270.00
D7,32.60,-83.50,T,90.00
D8,18.60,-55.70,T,0.00
F1,55.65,-68.10,T,0.00
J1,10.25,-81.50,T,270.00
J2,53.90,-79.00,T,180.00
J3,57.90,-57.41,T,270.00
J4,43.70,-56.10,T,270.00
J7,56.40,-44.15,T,180.00
J10,20.35,-77.17,T,90.00
J11,43.20,-77.17,T,90.00
J12,59.70,-95.65,T,270.00
L1,37.80,-84.60,T,90.00
Q1,19.40,-97.90,T,180.00
Q2,12.80,-97.90,T,0.00
Q3,47.20,-65.10,T,180.00
Q4,50.15,-68.00,T,0.00
Q5,6.90,-90.40,T,270.00
R1,16.00,-80.50,T,0.00
R2,16.00,-82.90,T,0.00
R3,23.10,-74.80,T,90.00
R4,42.50,-98.80,T,0.00
R5,42.50,-100.50,T,0.00
R6,42.50,-97.10,T,0.00
R7,9.80,-65.00,T,180.00
R8,9.80,-66.70,T,180.00
R9,9.80,-68.40,T,180.00
R10,9.80,-63.30,T,180.00
R11,16.10,-98.80,T,0.00
R12,16.10,-97.10,T,180.00
R13,16.10,-100.50,T,180.00
R14,9.80,-61.60,T,180.00
R15,29.00,-95.70,T,90.00
R16,23.20,-78.10,T,270.00
R17,25.50,-89.60,T,0.00
R18,24.20,-87.90,T,180.00
R19,30.70,-73.30,T,270.00
R20,28.90,-71.00,T,90.00
R21,46.80,-69.05,T,0.00
R22,16.20,-85.50,T,90.00
R23,40.30,-74.10,T,270.00
R24,12.00,-95.20,T,180.00
RV1,48.00,-61.70,T,180.00
SW1,7.67,-97.90,T,90.00
SW3,7.70,-56.80,T,90.00
SW4,34.60,-67.60,T,0.00
U1,24.96,-83.20,T,180.00
U2,25.20,-96.50,T,180.00
U4,36.90,-97.00,T,270.00
U5,47.90,-99.00,T,180.00
U6,25.00,-68.80,T,0.00
U7,35.50,-74.80,T,270.00
