Component,References,Value,Quantity Per PCB,Description,Manufacturer,MPN,DigiKey,LCSC,JLCPCB,Datasheet,manufacturer,mpn,Sim.Pin,Sim.Name,Sim.Device,Sim.Pins,Sim.Params,Sim.Library,AliExpress
1,C2 C3 C5 C6 C7 C15,0.1uF,6,C0603 0.1uF 50V,YAGEO,CC0603KRX7R9BB104,311-1335-1-ND,C14663,C14663,https://datasheet.lcsc.com/lcsc/2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf,YAGEO,CC0603KRX7R9BB104,,,,,,,
2,C8 C9 C11 C12 C14,1uF,5,C0603 1uF 50V,Samsung Electro-Mechanics,CL10A105KB8NNNC,,,C15849,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf,Samsung Electro-Mechanics,CL10A105KB8NNNC,,,,,,,
3,C10 C13,10uF,2,C1206 10uF 50V,Samsung Electro-Mechanics,CL31A106KBHNNNE,,,C13585,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31A106KBHNNNE_C13585.pdf,,,,,,,,,
4,C1,47uF,1,AEC 47uF 100V 8x12mm,CX(Dongguan Chengxing Elec),KM476M100F12RR0VH2FP0,,C46895,,https://datasheet.lcsc.com/lcsc/2110271330_CX-Dongguan-Chengxing-Elec-KM476M100F12RR0VH2FP0_C46895.pdf,,,,,,,,,
5,C4,470uF,1,AEC 470uF 6.3V 6.3x7mm,,,,C43328,,,,,,,,,,,
6,D1,5V6,1,zener 5.6V 200mW,,,,C968206,C19077464,,,,,,,,,,
7,D8,SRV05-4,1,TVS 4-line 5V,hongjiacheng,SRV05-4A,,C20615829,C20615829,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2506261420_hongjiacheng-SRV05-4A_C20615829.pdf,,,,,,,,,
8,D2 D7,SS210,2,schottky 100V 2A,MDD（Microdiode Electronics）,SS210,,C14996,C14996,https://datasheet.lcsc.com/lcsc/2304140030_MDD-Microdiode-Electronics--SS210_C14996.pdf,,,,,,,,,
9,D3 D4 D5 D6,green,4,LED green 0603,Everlight Elec,19-217/GHC-YR1S2/3T,,C72043,C2986059,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,,1=K 2=A,,,,,,
10,F1,PTC,1,PTC fuse 3.7A,Jinrui Electronic Materials Co.,JK60-185,,C369091,,https://omo-oss-file.thefastfile.com/portal-saas/new2022090111484395596/cms/file/96a36e42-2262-4bf8-9c83-71b3fcc4236e.pdf,,,,,,,,,
